reach,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_avg,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_avg,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,flow_min,flow_q1,flow_q5,flow_q25,flow_q50,flow_avg,flow_q75,flow_q95,flow_q99,flow_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_avg,rtime_q75,rtime_q95,rtime_q99,rtime_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_avg,velocity_q75,velocity_q95,velocity_q99,velocity_max
566.000,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.004,0.007,0.501,0.502,0.502,0.503,0.503,0.503,0.504,0.506,0.508,0.514,0.856,1.268,1.757,2.542,3.631,4.441,5.298,10.404,15.724,34.942,0.002,0.003,0.004,0.005,0.005,0.006,0.006,0.007,0.008,0.010,0.028,0.032,0.037,0.043,0.049,0.051,0.057,0.074,0.087,0.118
567.000,0.004,0.005,0.006,0.007,0.009,0.009,0.011,0.016,0.021,0.034,0.507,0.509,0.511,0.514,0.517,0.519,0.522,0.533,0.542,0.568,9.297,13.797,19.120,27.671,39.515,48.339,57.657,113.230,171.162,380.353,0.005,0.006,0.007,0.010,0.011,0.011,0.013,0.015,0.017,0.020,0.059,0.069,0.078,0.090,0.104,0.108,0.120,0.155,0.181,0.243
568.000,0.010,0.013,0.016,0.020,0.025,0.027,0.031,0.046,0.058,0.093,0.521,0.526,0.532,0.540,0.549,0.553,0.561,0.592,0.617,0.685,112.945,167.275,231.824,335.353,478.955,585.836,698.807,1372.318,2075.798,4606.472,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.249,0.290,0.329,0.379,0.433,0.449,0.499,0.639,0.740,0.975
570.000,0.061,0.073,0.085,0.101,0.119,0.125,0.141,0.190,0.228,0.321,0.623,0.647,0.671,0.702,0.737,0.750,0.781,0.880,0.956,1.142,112.947,167.277,231.821,335.362,478.952,585.837,698.788,1372.318,2075.789,4606.435,0.006,0.008,0.010,0.013,0.015,0.015,0.018,0.022,0.025,0.030,0.038,0.046,0.054,0.064,0.076,0.080,0.090,0.122,0.146,0.203
571.000,0.016,0.020,0.025,0.031,0.039,0.042,0.049,0.074,0.096,0.154,0.532,0.541,0.550,0.563,0.578,0.585,0.598,0.648,0.691,0.809,112.944,167.213,231.785,335.364,478.883,585.834,698.789,1372.318,2076.226,4605.813,0.002,0.003,0.003,0.004,0.004,0.004,0.005,0.006,0.006,0.007,0.158,0.183,0.206,0.235,0.265,0.273,0.301,0.374,0.424,0.530
572.000,0.029,0.037,0.044,0.055,0.067,0.072,0.083,0.120,0.150,0.227,0.558,0.573,0.589,0.610,0.634,0.644,0.666,0.740,0.800,0.953,112.931,167.211,231.771,335.359,478.946,585.831,698.723,1372.318,2075.538,4605.859,0.004,0.005,0.005,0.007,0.008,0.008,0.009,0.010,0.012,0.014,0.085,0.099,0.112,0.128,0.146,0.152,0.168,0.214,0.248,0.325
573.000,0.014,0.018,0.022,0.028,0.035,0.038,0.043,0.065,0.084,0.134,0.529,0.537,0.545,0.556,0.569,0.575,0.587,0.630,0.667,0.769,112.912,167.225,231.767,335.328,478.997,585.831,698.687,1372.318,2074.709,4606.470,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.005,0.006,0.007,0.177,0.205,0.232,0.265,0.302,0.311,0.345,0.433,0.494,0.629
574.000,0.051,0.062,0.073,0.087,0.103,0.108,0.123,0.167,0.201,0.286,0.603,0.625,0.646,0.674,0.706,0.717,0.745,0.834,0.902,1.072,99.065,146.766,203.394,294.308,420.375,514.337,613.207,1204.371,1820.984,4042.522,0.006,0.008,0.009,0.012,0.015,0.015,0.017,0.021,0.024,0.029,0.041,0.049,0.057,0.067,0.079,0.083,0.093,0.126,0.150,0.209
575.000,0.057,0.069,0.081,0.097,0.115,0.122,0.138,0.189,0.228,0.324,0.614,0.639,0.662,0.694,0.731,0.744,0.776,0.878,0.956,1.147,99.032,146.768,203.419,294.279,420.384,514.337,613.169,1204.371,1820.795,4043.268,0.007,0.009,0.011,0.014,0.017,0.017,0.020,0.023,0.027,0.032,0.036,0.043,0.050,0.059,0.069,0.072,0.081,0.108,0.128,0.176
576.000,0.019,0.024,0.030,0.037,0.047,0.051,0.059,0.091,0.118,0.193,0.538,0.548,0.559,0.575,0.593,0.602,0.619,0.682,0.736,0.885,83.958,124.489,172.537,249.634,356.523,436.170,520.159,1021.586,1544.066,3430.009,0.004,0.005,0.005,0.006,0.007,0.007,0.008,0.009,0.010,0.012,0.100,0.115,0.128,0.145,0.162,0.166,0.182,0.221,0.246,0.299
577.000,0.011,0.014,0.017,0.021,0.026,0.028,0.033,0.049,0.063,0.101,0.522,0.527,0.533,0.542,0.552,0.556,0.565,0.598,0.625,0.703,83.982,124.464,172.563,249.634,356.527,436.171,520.205,1021.586,1543.974,3430.583,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.005,0.006,0.007,0.177,0.205,0.232,0.267,0.305,0.315,0.349,0.443,0.509,0.655
578.000,0.025,0.032,0.039,0.048,0.059,0.063,0.073,0.106,0.133,0.202,0.551,0.564,0.577,0.596,0.618,0.627,0.646,0.713,0.766,0.905,83.982,124.476,172.560,249.629,356.529,436.171,520.187,1021.586,1543.960,3430.818,0.004,0.005,0.006,0.008,0.009,0.009,0.011,0.012,0.014,0.016,0.073,0.085,0.096,0.110,0.126,0.131,0.145,0.184,0.213,0.281
579.000,0.010,0.013,0.016,0.020,0.025,0.027,0.031,0.047,0.061,0.098,0.521,0.527,0.532,0.540,0.550,0.554,0.563,0.595,0.621,0.696,83.922,124.466,172.517,249.662,356.555,436.170,520.187,1021.586,1544.604,3431.315,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.006,0.183,0.213,0.241,0.277,0.316,0.326,0.362,0.459,0.528,0.682
580.000,0.009,0.012,0.015,0.018,0.023,0.024,0.028,0.043,0.054,0.088,0.519,0.524,0.529,0.536,0.545,0.549,0.557,0.585,0.609,0.675,45.911,68.031,94.325,136.453,194.885,238.416,284.343,558.415,843.946,1875.366,0.003,0.004,0.004,0.005,0.006,0.006,0.007,0.008,0.009,0.010,0.111,0.129,0.146,0.168,0.192,0.199,0.221,0.282,0.325,0.423
581.000,0.034,0.041,0.049,0.058,0.069,0.073,0.083,0.114,0.138,0.199,0.568,0.583,0.597,0.617,0.639,0.646,0.666,0.728,0.777,0.898,45.893,68.029,94.315,136.462,194.900,238.417,284.338,558.415,844.216,1875.547,0.007,0.010,0.013,0.017,0.020,0.020,0.024,0.028,0.033,0.040,0.029,0.035,0.041,0.049,0.057,0.060,0.068,0.093,0.111,0.157
582.000,0.003,0.004,0.005,0.006,0.008,0.008,0.010,0.015,0.019,0.031,0.506,0.508,0.510,0.512,0.515,0.517,0.519,0.529,0.537,0.561,9.302,13.795,19.124,27.669,39.516,48.339,57.651,113.230,171.146,380.211,0.004,0.006,0.007,0.008,0.010,0.010,0.011,0.013,0.015,0.017,0.068,0.079,0.090,0.103,0.119,0.123,0.137,0.176,0.205,0.272
583.000,0.005,0.006,0.007,0.009,0.011,0.012,0.014,0.021,0.027,0.043,0.510,0.512,0.515,0.519,0.523,0.525,0.529,0.543,0.555,0.587,9.306,13.793,19.126,27.668,39.517,48.339,57.656,113.230,171.120,380.271,0.006,0.008,0.010,0.013,0.015,0.015,0.017,0.020,0.022,0.026,0.044,0.052,0.059,0.068,0.078,0.082,0.091,0.118,0.139,0.187
584.000,0.003,0.004,0.005,0.006,0.008,0.008,0.009,0.013,0.016,0.024,0.507,0.508,0.510,0.512,0.515,0.516,0.518,0.526,0.532,0.548,0.856,1.268,1.758,2.542,3.631,4.441,5.298,10.404,15.724,34.944,0.015,0.021,0.026,0.036,0.042,0.042,0.050,0.058,0.067,0.080,0.006,0.007,0.008,0.009,0.011,0.012,0.013,0.018,0.022,0.032
